ELEVACION,LATITUD,LONGITUD
Cerro Yayantique,13.43444,-88.00056
Cerro Volcancillo,13.88333,-88.16667
Cerro Verde,13.48333,-88.53333
Volcan de Usulutan,13.41667,-88.46667
Cerro Ujushtal,13.96667,-89.4
Cerro Tutultepeque,13.9,-89.23333
Cerro Tushtepeque,13.7,-89.06667
Cerro Tizate,13.73333,-87.85
Cerro Tiguama,13.9,-89.45
Cerro Texis,14.11667,-89.48333
Cerro Tepetoro,13.55,-89.65
Cerro Tepemechin,13.9,-88.38333
Cerro Tepeagua,14.05,-89.28333
Cerro Tecuan,14,-89.26667
Cerro Tecomatepe,13.84472,-89.05417
Cerro Tecomasuche,14.03333,-89.35
Cerro Tecoluca,13.78333,-89
Cerro Tecolote,14.11667,-88.8
Cerro Tecolote,14.01667,-89.38333
Volcan de Tecapa,13.48333,-88.51667
Cerro Tecana,14,-89.53333
Cerro Susubala,13.55,-88.06667
Cerro Singuil,14.05,-89.63333
Cerro Sihuatepeque,13.61667,-88.6
Cerro Sarten,13.83333,-89.18333
Volcan de San Vicente,13.5966,-88.83811
Cerro Santa Rosa,14.05,-89.26667
Cerro Santa Rita,13.95,-89.23333
Loma de Santa Barbara,13.65,-88.36667
Volcan de Santa Ana,13.85,-89.62944
Cerro San Sebastian,13.65,-87.93333
Volcan de San Salvador,13.73806,-89.2875
Cerro San Roque,13.66667,-87.86667
Cerro San Pedro,13.6,-88.08333
Cerro San Pablo,14,-89.03333
Volcan de San Miguel,13.43333,-88.26667
Cerro San Lorenzo,13.6,-89.76667
Cerro San Juan,13.91,-87.89333
Cerro San Jose,13.6,-88.3
Cerro San Joaquin,13.83333,-88.65
Cerro San Jacinto,13.67028,-89.15889
Cerro San Isidro,14.33333,-89.48333
Cerro San Felipe,13.6,-88.03333
Cerro San Cristobal,13.61667,-87.91667
Cerro San Antonio,13.71667,-89.48333
Cerro Salamar,13.96667,-88.55
Cerro Romero,13.86667,-89.58333
Cerro Redondo,14.43333,-89.33333
Loma Redonda La Canada,13.23333,-87.98333
Loma Redonda,14.11667,-89.2
Cerro Ramirez,13.63333,-88.8
Cerro Rajado,14.13333,-89.18333
Cerro Quemado,14.08333,-89.65
Cerro Pucuyo,13.6,-88.01667
Cerro Portillo del Toro,13.56667,-88.1
Cerro Plan Grande,13.61667,-87.76667
Cerro Piedra Parada,13.63333,-87.78333
Cerro Piedra Blanca,13.46667,-87.75
Cerro Picudo,13.91667,-89.21667
Cerro Pepesca,14.01667,-89.45
Cerro Cayaguanca,14.36667,-89.16667
Loma Pena Blanca,13.68333,-89.56667
Cerro Pena Blanca,13.91667,-89.7
Cerro Pena Blanca,13.81667,-88.43333
Cerro Pelon,13.61667,-87.83333
Cerro Patashte,13.51667,-89.48333
Cerro Panela,13.24944,-88.0375
Cerro Pando,13.85,-88.11667
Cerro Palacios,13.8,-88.56667
Cerro Pacho,13.84111,-89.57889
Loma Pacha,14.15,-89.26667
Cerro de Ostua,14.31944,-89.58139
Cerro Oromontique,13.46667,-88.46667
Cerro de Oro,13.85,-89.78333
Cerro Oliva,14.01667,-88.98333
Cerro Ojo de Agua,13.86056,-89.2375
Cerro Ocotillo,13.81667,-87.86667
Cerro de Nubes,13.81972,-87.99333
Cerro Nicaragua,13.68028,-89.67611
Cerro de Nejapa,13.82111,-89.21417
Cerro Montoso,13.23333,-88
Loma Monte Hermoso,13.85,-89.91667
Cerro Mojones,13.68333,-87.86667
Cerro Mogotillo,13.45,-87.88333
Cerro Mogote,13.51639,-87.84861
Cerro Miramundo,14.41667,-89.36667
Cerro Mendoza,13.7,-88.11667
Cerro Mejia,13.65,-88.7
Cerro Mascaron,13.86667,-89.58333
Cerro Masatepeque,13.73333,-89.5
Cerro Mariyal,13.53333,-87.9
Cerro Maria Pura,13.67083,-87.83889
Cerro Mapitera,13.9,-88.83333
Cerro Maldivieso,13.53333,-88.13333
Cerro Malacate,13.53333,-89.48333
Cerro Malacara,13.88667,-89.66194
Cerro Mala Cara,14.01667,-89.23333
Loma de Majoma,13.97444,-89.41944
Cerro Maculis,13.58694,-87.87111
Cerro Macance,13.86389,-89.06472
Cerro Macacio,14.13333,-89.15
Cerro Los Vinos,13.66667,-87.95
Los Siete Cerros,14.05,-89.71667
Cerro Los Potrerillos,14.11667,-89.18333
Cerro Los Picachos,13.85,-87.9
Cerro Los Negros,14.31278,-89.52333
Cerro Los Naranjos,13.87139,-89.68611
Cerro Los Jiotes,13.55,-87.95
Cerro Los Coyotes,13.63333,-87.76667
Cerro Los Blancos,13.51528,-87.80667
Cerro Loma Alta,13.88333,-87.91667
Cerro Llano Blanco,13.85,-87.93333
Cerro Lechuzas,14.05,-89.35
Cerro de La Vibora,14.13333,-89.18333
Cerro La Ventana,13.77361,-87.9075
Cerro La Tostuma,13.58333,-87.81667
Loma La Tigra,13.97639,-89.27611
Cerro La Tabla,13.85,-89.21667
Cerro Las Visiones,14.1,-89.33333
Cerro Las Victorias,13.7,-89.31667
Cerro Las Ventanas,13.98333,-89.23333
Cerro Las Tunas,13.93333,-89.21667
Cerro Las Tablas,14.16667,-89.15
Cerro Las Ranas,13.9,-89.7
Cerro Las Puntas,13.68333,-88.06667
Cerro Las Piletas,14.15,-89.23333
Cerro de Las Pavas,14.13333,-89.18333
Cerro Las Partidas,13.86667,-89
Cerro La Sombra,13.68333,-88.38333
Cerro Las Ninfas,13.88333,-89.8
Cerro Las Minas,13.76667,-88.55
Cerro Las Mesas,13.76667,-87.93333
Cerro de Las Marias,13.85,-87.83333
Cerro Las Lajas,14.08333,-89.73333
Cerro Las Guayabillas,14.4,-89.55
Loma Las Guaras,14,-89.16667
Cerro Las Guaras,13.68333,-88.4
Cerro Las Delicias,13.76667,-89.06667
Cerro Las Crucitas,13.68333,-89.5
Cerro Las Cruces,13.91667,-89.68333
Cerro Las Canas,14.1,-89.16667
Cerro de Las Campanas,13.8,-88.76667
Cerro Las Campanas,14.15,-89.23333
Cerro La Rinconada,13.56667,-87.91667
Loma Larga,13.64639,-89.17056
Cerro La Regalona,13.73333,-87.86667
Cerro de La Plata,14.03333,-89.3
Cerro La Pitahaya,13.65,-88.13333
Cerro de La Pena,13.7675,-87.925
Cerro La Pena,14.28333,-89.33333
Cerro de La Olla,13.68333,-88.73333
Cerro La Olla,14.06667,-89.73333
Loma La Mora,13.56667,-88.7
Cerro La Canada,14.1,-88.73333
Cerro La Montanita,14.15,-89.18333
Cerro La Montana,13.78333,-88.5
Cerro La Mision,13.25,-88.26667
Cerro La Mesa,13.71667,-87.83333
Cerro La Majada,14.26667,-89.38333
Cerro La Lucha,13.98333,-89.3
Cerro La Loma,13.86667,-88.73333
Cerro La Leona,13.8,-87.83333
Cerro La Lechuza,13.71667,-87.91667
Cerro La Jojona,13.63333,-88.33333
Montana La Hulera,13.43333,-89.06667
Cerro La Hedionda,13.95,-89.21667
Cerro Laguna Verde,13.9,-89.78333
Cerro La Gueguecha,13.51667,-88.31667
Cerro La Garrocha,13.365,-88.03778
Cerro La Esperanza,14,-89.53333
Cerro La Escoba,13.45,-87.86667
Cerro La Danta,13.38333,-87.96667
Loma La Culebra,14.32611,-89.59056
Cerro La Cruz,13.30361,-88.13694
Cerro La Crucita,13.98333,-88.11667
Loma La Chaparrosa,13.63333,-87.78333
Cerro La Cebadilla,13.6,-88.01667
Cerro La Campana,13.83333,-88.26667
Cerro La Caja,14,-89.08333
Cerro La Burrona,13.58333,-88.06667
Cerro La Berberia,13.3,-88
Loma La Arana,13.6,-87.96667
Cerro El Junquillo,14.33333,-89.58333
Cerro Juana Pancha,13.37389,-87.96444
Cerro Joya Grande,14.08333,-89.68333
Cerro Jaltepeque,13.55,-88.73333
Cerro Izcanalito,13.86667,-88.53333
Volcan de Izalco,13.81358,-89.63247
Cerro Gueripe,13.75,-87.76667
Volcan de Guazapa,13.89611,-89.12056
Cerro Guayzungue,13.81667,-87.88333
Cerro Guaycume,13.8375,-89.16667
Cerro Guascanal,13.76667,-87.91667
Cerro Guacamayero,13.85,-89.58333
Cerro Grande,13.88333,-88.61667
Cerro Gigante,13.93333,-88.15
Cerro Gavilan,14.11667,-89.1
Cerro Feliciano,13.83333,-88.75
Cerro Evaristo,13.19056,-87.71917
Cerro Eramon,14.03333,-88.76667
Cerro El Zope,14.01667,-89.43333
Cerro El Zapote,13.86278,-87.90889
Cerro El Volcan de Torola,13.93333,-88.23333
Cerro El Volcancillo,14.13333,-88.9
Cerro El Trueno,13.58333,-87.95
Cerro El Tizate,13.73333,-88.03333
Cerro El Tigre,13.46667,-88.43333
Cerro El Teosinte,14.15,-89.36667
Cerro El Tenidero,13.61667,-88.28333
Cerro El Tecacaste,13.7,-89.45
Loma El Tacuazin,13.48333,-89.23333
Cerro El Taburete,13.43333,-88.53333
Cerro El Tablon,13.56667,-88.23333
Cerro El Sillon,13.56667,-88.18333
Cerro El Salitre,14.01667,-89.4
Cerro El Rosario,13.52139,-89.005
Cerro El Retiro,13.89806,-89.64889
Cerro El Pulpito,13.51667,-88.7
Cerro El Pozo,13.65,-88.61667
Cerro El Portillo,13.58333,-87.91667
